cited_name,citing_year,cited_total
Jacqueline Jones Royster,1/1/2018,29
John Trimbur,1/1/2016,25
Sharon Crowley,1/1/2015,20
Jacqueline Jones Royster,1/1/2017,19
Jacqueline Jones Royster,1/1/2015,19
John Trimbur,1/1/2014,18
Kathleen Blake Yancey,1/1/2014,18
Deborah Brandt,1/1/2014,18
Deborah Brandt,1/1/2015,18
Kenneth Burke,1/1/2016,17
Jonathan Alexander,1/1/2018,16
Kenneth Burke,1/1/2015,16
Sharon Crowley,1/1/2013,16
Deborah Brandt,1/1/2013,16
Kathleen Blake Yancey,1/1/2016,16
Ellen Cushman,1/1/2017,15
Jacqueline Jones Royster,1/1/2016,15
Kathleen Blake Yancey,1/1/2015,15
A. Suresh Canagarajah,1/1/2016,14
Linda Adler-Kassner,1/1/2015,14
Ellen Cushman,1/1/2015,14
Jacqueline Jones Royster,1/1/2014,13
Sharon Crowley,1/1/2014,13
Krista Ratcliffe,1/1/2018,13
Jonathan Alexander,1/1/2017,13
Kenneth Burke,1/1/2018,13
Jody Shipka,1/1/2017,13
Cynthia L. Selfe,1/1/2015,13
Kathleen Blake Yancey,1/1/2013,13
John Trimbur,1/1/2015,13
Jessica Enoch,1/1/2015,13
Deborah Brandt,1/1/2017,13
Cheryl Glenn,1/1/2015,13
Jonathan Alexander,1/1/2015,12
Kenneth Burke,1/1/2014,12
Victor Villanueva,1/1/2017,12
Jacqueline Jones Royster,1/1/2013,12
bell hooks,1/1/2017,12
Jody Shipka,1/1/2014,12
Linda Adler-Kassner,1/1/2013,12
Linda Adler-Kassner,1/1/2018,12
Linda Adler-Kassner,1/1/2017,12
Kathleen Blake Yancey,1/1/2018,12
Mike Rose,1/1/2018,11
Kathleen Blake Yancey,1/1/2017,11
Linda Flower,1/1/2014,11
Sharon Crowley,1/1/2018,11
Ellen Cushman,1/1/2013,11
Linda Adler-Kassner,1/1/2014,10
Patricia Bizzell,1/1/2018,10
David Bartholomae,1/1/2015,10
Krista Ratcliffe,1/1/2017,10
Jody Shipka,1/1/2015,10
Cynthia L. Selfe,1/1/2013,10
Michel Foucault,1/1/2015,10
Cynthia L. Selfe,1/1/2016,10
Linda Flower,1/1/2018,10
Sharon Crowley,1/1/2016,10
Victor Villanueva,1/1/2013,10
John Trimbur,1/1/2018,10
Victor Villanueva,1/1/2014,10
Sharon Crowley,1/1/2017,10
John Trimbur,1/1/2017,10
Deborah Brandt,1/1/2018,10
Patricia Bizzell,1/1/2017,9
Cheryl Glenn,1/1/2013,9
Linda Flower,1/1/2015,9
Keith Gilyard,1/1/2016,9
Mike Rose,1/1/2017,9
Victor Villanueva,1/1/2018,9
Jonathan Alexander,1/1/2016,9
Keith Gilyard,1/1/2017,9
Cynthia L. Selfe,1/1/2018,9
Jody Shipka,1/1/2016,9
bell hooks,1/1/2016,9
Cynthia L. Selfe,1/1/2014,9
Peter Elbow,1/1/2016,8
Jessica Enoch,1/1/2018,8
A. Suresh Canagarajah,1/1/2015,8
Linda Adler-Kassner,1/1/2016,8
John Trimbur,1/1/2013,8
Michel Foucault,1/1/2013,8
Kenneth Burke,1/1/2013,8
bell hooks,1/1/2018,8
Keith Gilyard,1/1/2014,8
Mike Rose,1/1/2013,8
Min-Zhan Lu,1/1/2015,8
Min-Zhan Lu,1/1/2016,8
Patricia Bizzell,1/1/2013,8
Peter Elbow,1/1/2018,8
Peter Elbow,1/1/2017,8
Peter Elbow,1/1/2014,8
David Bartholomae,1/1/2013,8
Min-Zhan Lu,1/1/2017,8
Peter Elbow,1/1/2013,8
Cheryl Glenn,1/1/2017,7
Mike Rose,1/1/2014,7
Peter Elbow,1/1/2015,7
A. Suresh Canagarajah,1/1/2014,7
Linda Flower,1/1/2017,7
David Bartholomae,1/1/2014,7
Patricia Bizzell,1/1/2015,7
David Bartholomae,1/1/2016,7
Linda Flower,1/1/2016,7
Jessica Enoch,1/1/2013,7
Michel Foucault,1/1/2018,7
Victor Villanueva,1/1/2015,7
Deborah Brandt,1/1/2016,7
Mike Rose,1/1/2015,7
bell hooks,1/1/2015,7
Ellen Cushman,1/1/2016,7
Jody Shipka,1/1/2018,7
Keith Gilyard,1/1/2013,6
David Bartholomae,1/1/2018,6
Cynthia L. Selfe,1/1/2017,6
Patricia Bizzell,1/1/2016,6
Michel Foucault,1/1/2014,6
Min-Zhan Lu,1/1/2018,6
Victor Villanueva,1/1/2016,6
Cheryl Glenn,1/1/2014,6
Cheryl Glenn,1/1/2016,6
Jessica Enoch,1/1/2016,6
Ellen Cushman,1/1/2014,6
Linda Flower,1/1/2013,6
Krista Ratcliffe,1/1/2013,6
Krista Ratcliffe,1/1/2016,6
Ellen Cushman,1/1/2018,5
Krista Ratcliffe,1/1/2014,5
Keith Gilyard,1/1/2018,5
Min-Zhan Lu,1/1/2014,5
Michel Foucault,1/1/2017,5
Linda Adler-Kassner,1/1/2019,5
Mike Rose,1/1/2016,5
A. Suresh Canagarajah,1/1/2013,5
Cheryl Glenn,1/1/2018,5
Kenneth Burke,1/1/2017,5
Jessica Enoch,1/1/2014,4
A. Suresh Canagarajah,1/1/2019,4
A. Suresh Canagarajah,1/1/2018,4
Jonathan Alexander,1/1/2014,4
Jessica Enoch,1/1/2017,4
Michel Foucault,1/1/2016,4
David Bartholomae,1/1/2017,4
John Trimbur,1/1/2019,4
Patricia Bizzell,1/1/2014,4
Kenneth Burke,1/1/2012,4
Min-Zhan Lu,1/1/2013,3
Kathleen Blake Yancey,1/1/2019,3
Cynthia L. Selfe,1/1/2019,3
Jody Shipka,1/1/2019,3
bell hooks,1/1/2014,3
Jody Shipka,1/1/2013,3
A. Suresh Canagarajah,1/1/2017,3
Deborah Brandt,1/1/2019,3
Jacqueline Jones Royster,1/1/2019,3
Peter Elbow,1/1/2012,3
Keith Gilyard,1/1/2019,3
Ellen Cushman,1/1/2019,3
Jonathan Alexander,1/1/2013,3
Linda Adler-Kassner,1/1/2012,3
Jessica Enoch,1/1/2019,3
Peter Elbow,1/1/2019,2
bell hooks,1/1/2013,2
Krista Ratcliffe,1/1/2015,2
Linda Flower,1/1/2012,2
Krista Ratcliffe,1/1/2012,2
Keith Gilyard,1/1/2015,2
Kenneth Burke,1/1/2019,2
Mike Rose,1/1/2019,2
Min-Zhan Lu,1/1/2019,2
Cheryl Glenn,1/1/2012,2
David Bartholomae,1/1/2012,2
David Bartholomae,1/1/2019,1
Kathleen Blake Yancey,1/1/2012,1
Jonathan Alexander,1/1/2019,1
Min-Zhan Lu,1/1/2012,1
Patricia Bizzell,1/1/2019,1
Patricia Bizzell,1/1/2012,1
Michel Foucault,1/1/2019,1
Sharon Crowley,1/1/2019,1
Sharon Crowley,1/1/2012,1
Victor Villanueva,1/1/2019,1
Victor Villanueva,1/1/2012,1
bell hooks,1/1/2012,1
bell hooks,1/1/2019,1
